{1584.893192461114, {2.7813954222350695*^32, 4.560338797973899*^25, 7.591949636925176*^32, 1.5426659230201588*^26, 1.0687537253869864*^39, 9.497589768890201*^38, 6.436807014059049*^36, 6.528030765468895*^37, 4.533605307232092*^38, 1.3420096940389346*^38}}
{2511.886431509582, {1.7557450128674638*^32, 1.1460311467179616*^25, 4.7923926611726946*^32, 3.8767831980593285*^25, 6.74765945436609*^38, 5.9965148983785426*^38, 4.065638910420196*^36, 4.1210369324738086*^37, 2.8621581658919788*^38, 8.474764228449357*^37}}
{3981.0717055349733, {1.1081201417642901*^32, 2.8795337639475985*^24, 3.0246701447788635*^32, 9.740863437091185*^24, 4.259190065841404*^38, 3.785114947421912*^38, 2.56695346548176*^36, 2.601046201767501*^37, 1.806555650733521*^38, 5.350105188624402*^37}}
{6309.573444801937, {6.993039574834849*^31, 7.234383368217603*^23, 1.9087862170699575*^32, 2.4472419632816934*^24, 2.6880462247413202*^38, 2.3888712727122518*^38, 1.6203187759810577*^36, 1.641486801967615*^37, 1.1401207920205707*^38, 3.3768393715631647*^37}}
{10000., {4.412817052491638*^31, 1.8174044271611132*^23, 1.2045014011199356*^32, 6.147903496636913*^23, 1.6963128767390678*^38, 1.5075248407747635*^38, 1.0226231262580292*^36, 1.0358425866499718*^37, 7.194716115086682*^37, 2.131100083995268*^37}}
{15848.93192461114, {2.7845013484978886*^31, 4.565445561241784*^22, 7.600442373033583*^31, 1.5443960106776028*^23, 1.0704087236213241*^38, 9.512829751303166*^37, 6.453394815015551*^35, 6.536260157808541*^36, 4.539973174078427*^37, 1.3448157300788907*^37}}
{25118.864315095823, {1.7569819927436532*^31, 1.146840703560267*^22, 4.795774835520823*^31, 3.879525648811992*^22, 6.754250370174598*^37, 6.002584803570308*^37, 4.072232642950338*^35, 4.124314455610125*^36, 2.8646942355052917*^37, 8.485939773107723*^36}}
{39810.71705534977, {1.108607723389921*^31, 2.88081667193237*^21, 3.0260161585667824*^31, 9.745210148851915*^21, 4.26170775771793*^37, 3.787523065307331*^37, 2.568920794969945*^35, 2.6023310220085023*^36, 1.8075406185951685*^37, 5.35443463602563*^36}}
{63095.73444801943, {6.99300903882392*^30, 7.236243665328496*^20, 1.9092445863674468*^31, 2.447911358546016*^21, 2.686444866534881*^37, 2.3893902701335674*^37, 1.6138976665606626*^35, 1.641309380377664*^36, 1.1397914818012297*^37, 3.375601581443032*^36}}
{100000.0000000002, {4.3926775970163165*^30, 1.8160916342501284*^20, 1.2031329171418853*^31, 6.14631067433944*^20, 1.6773779675822679*^37, 1.502384558967704*^37, 9.910192055738055*^34, 1.0295194953801859*^36, 7.135553606453069*^36, 2.1093870536450563*^36}}
{158489.3192461114, {2.69770671244954*^30, 4.5180900400811745*^19, 7.49803259273339*^30, 1.534400974830603*^20, 1.0095943416611602*^37, 9.25889447099992*^36, 5.749063442426089*^34, 6.288269575394256*^35, 4.3295775631332614*^36, 1.2728007170910102*^36}}
