{158.48931924611142, {2.45072798029634*^26, 5.158512651491918*^20, 2.4506942579601226*^26, 5.158487175563538*^20, 2.845060286146565*^37, 8.52460659531774*^37, 2.845021209912024*^37, 8.52472382480068*^37, 3.411976154748786*^38, 3.41192926296775*^38}}
{251.18864315095823, {1.5488144494363903*^26, 1.301923551761746*^20, 1.5487931739319872*^26, 1.3019171421036927*^20, 1.795020785463946*^37, 5.384392960679016*^37, 1.7949961321487076*^37, 5.3844669210539205*^37, 2.153904648522175*^38, 2.153875064505958*^38}}
{398.1071705534973, {9.790071672376531*^25, 3.2791991825493017*^19, 9.789937345887653*^25, 3.2791830530247012*^19, 1.1335449960502626*^37, 3.4023919503465937*^37, 1.1335294307243341*^37, 3.4024386462419147*^37, 1.360614422906742*^38, 1.3605957445364976*^38}}
{630.9573444801937, {6.183650479274873*^25, 8.250253984967242*^18, 6.183565665685573*^25, 8.250213426576084*^18, 7.155309557784314*^36, 2.1485908920329384*^37, 7.15521127839203*^36, 2.1486203757749635*^37, 8.590425721570467*^37, 8.590307786661476*^37}}
{1000., {3.902978644599553*^25, 2.0736331614287698*^18, 3.902925119421975*^25, 2.0736229700722092*^18, 4.5155346393027366*^36, 1.3560681695009113*^37, 4.515472616117383*^36, 1.3560867764103319*^37, 5.421494144369262*^37, 5.421419716363555*^37}}
{1584.893192461114, {2.463320046190729*^25, 5.211766543679871*^17, 2.463286271752939*^25, 5.211740936799206*^17, 2.8493881435553145*^36, 8.558128785403598*^36, 2.849348990842526*^36, 8.558246212976325*^36, 3.4212820886971694*^37, 3.421235100052279*^37}}
{2511.886431509582, {1.5545314206895429*^25, 1.3096179150440285*^17, 1.5545101095303877*^25, 1.3096114817211658*^17, 1.797953195473165*^36, 5.40057763109805*^36, 1.7979285401250182*^36, 5.400651708190453*^36, 2.1589022733324894*^37, 2.1588726427133125*^37}}
{3981.0717055349774, {9.809550238551162*^24, 3.290373688128684*^16, 9.809415770558263*^24, 3.290357526506705*^16, 1.1344756006545405*^36, 3.407837658073529*^36, 1.1344600449870754*^36, 3.407884398821281*^36, 1.3622622781025*^37, 1.3622436291352622*^37}}
{6309.573444801937, {6.189848649967096*^24, 8.266234375426857*^15, 6.189763805114055*^24, 8.266193776373913*^15, 7.15821247289022*^35, 2.1503186193780653*^36, 7.15811419176698*^35, 2.1503480611674342*^36, 8.59562684692954*^36, 8.595508522850257*^36}}
{10000., {3.90572259729579*^24, 2.0765433191037242*^15, 3.905669062980709*^24, 2.0765331205659562*^15, 4.516396131816053*^35, 1.356805706902353*^36, 4.516332241493706*^35, 1.3568244533370115*^36, 5.423555950423293*^36, 5.423480922989486*^36}}
{15848.93192461114, {2.4639466090947166*^24, 5.21521863169003*^14, 2.46391283113976*^24, 5.215193017216462*^14, 2.8476187984039634*^35, 8.559763410376471*^35, 2.8475781057483768*^35, 8.559881368053444*^35, 3.421370428743033*^36, 3.421322165199079*^36}}
{25118.864315095823, {1.5540446085786002*^24, 1.3097412224727108*^14, 1.5540233335124303*^24, 1.3097347872256094*^14, 1.7820412952583447*^35, 5.393753102129352*^35, 1.782018502774003*^35, 5.393825801693428*^35, 2.151862597799324*^36, 2.1518338171627307*^36}}
{39810.71705534977, {9.71745552985964*^23, 3.279878117166621*^13, 9.717322925731492*^23, 3.279862031318409*^13, 1.08075944438786*^35, 3.357542864929663*^35, 1.0807476441385405*^35, 3.357586563030109*^35, 1.3283272787272704*^36, 1.3283109440359509*^36}}
{63095.73444801943, {5.9426031543642563*^23, 8.126184486771551*^12, 5.9425227584326376*^23, 8.126144724240176*^12, 6.220515338931113*^34, 2.0313804569168963*^35, 6.220362408281544*^34, 2.0314140591517323*^35, 7.89230083586076*^35, 7.892135284404346*^35}}
{100000., {3.420420601972197*^23, 2.0407719846108596*^12, 3.4203774554891956*^23, 2.0407625889373745*^12, 3.2978568733363664*^34, 1.1483682041076*^35, 3.297835677423866*^34, 1.1483836886378824*^35, 4.347233757651795*^35, 4.347232590360843*^35}}
{158489.3192461114, {1.8269516695669214*^23, 4.5716739901122125*^11, 1.8269288571780372*^23, 4.571653200811193*^11, 1.6110921817760517*^34, 5.995843422087905*^34, 1.6110841309049796*^34, 5.995831708119277*^34, 2.205024443097235*^35, 2.2050290444494725*^35}}
{251188.6431509582, {9.021914082317423*^22, 9.432380059856941*^10, 9.021803184808801*^22, 9.432337597458643*^10, 7.402606111061284*^33, 2.9037983120563625*^34, 7.402548411116806*^33, 2.9037924184619503*^34, 1.0429917309733525*^35, 1.042991232053358*^35}}
{398107.17055349774, {4.169865728975949*^22, 1.803938428162272*^10, 4.16981479396622*^22, 1.80393037043432*^10, 3.219326240953243*^33, 1.318852513126681*^34, 3.2192860161731994*^33, 1.3188523830669971*^34, 4.64302190674028*^34, 4.643056582313955*^34}}
{630957.3444801943, {1.831695540825747*^22, 3.2631569172369704*^9, 1.8316733621262927*^22, 3.263142506800844*^9, 1.3577993006509968*^33, 5.725222448096063*^33, 1.3577976398696096*^33, 5.72516168920293*^33, 1.9885575269536252*^34, 1.9885715916752369*^34}}
{1.*^6, {7.738862636401349*^21, 5.597862108127922*^8, 7.738769371145805*^21, 5.597837493048792*^8, 5.601115829313661*^32, 2.4022039916131876*^33, 5.6012038511751286*^32, 2.4022007697218196*^33, 8.27846305708156*^33, 8.278900531303632*^33}}
{1.5848931924611141*^6, {3.2311358377700795*^21, 9.438419444961096*^7, 3.2310971301979467*^21, 9.438378108211954*^7, 2.2976631770137295*^32, 9.97880221929782*^32, 2.2982223022965116*^32, 9.978219587620584*^32, 3.4192411298482186*^33, 3.419247671445386*^33}}
{2.5118864315095823*^6, {1.3213959078949387*^21, 1.5136818425628934*^7, 1.3213787976463402*^21, 1.51367506710684*^7, 9.24069961301701*^31, 4.0599265980513205*^32, 9.243469449375143*^31, 4.059557887937054*^32, 1.3826277004022846*^33, 1.3832271911208533*^33}}
