{158.48931924611142, {2.7666473310814326*^30, 7.672631883936434*^23, 9.832809028212206*^29, 3.3024584639451776*^23, 2.4488560934357774*^37, 2.498507663612951*^37, 1.9655088197207517*^37, 3.948550432556719*^37, 2.2590236710077747*^38, 1.6790066580909392*^38}}
{251.18864315095823, {1.7468372569702413*^30, 1.928626471179876*^23, 6.208395503460516*^29, 8.301252847159068*^22, 1.546408358330103*^37, 1.5777615898754678*^37, 1.241228136320055*^37, 2.4933024941730305*^37, 1.4265054958152*^38, 1.0602891579678302*^38}}
{398.1071705534973, {1.1026583367420894*^30, 4.846629583750264*^22, 3.9189512092617785*^29, 2.0861086417691286*^22, 9.76229667167557*^36, 9.960222532644674*^36, 7.83590807762268*^36, 1.5739388922921975*^37, 9.00525574420849*^37, 6.69358924948819*^37}}
{630.9573444801937, {6.9592100970581*^29, 1.2177574775135914*^22, 2.473375600306196*^29, 5.241539779727123*^21, 6.161632276031113*^36, 6.286554993831847*^36, 4.9458320137038013*^36, 9.933955923197686*^36, 5.683770539570308*^37, 4.224810179072178*^37}}
{1000., {4.391723959458504*^29, 3.059406203284291*^21, 1.5608671307149815*^29, 1.3168485965684445*^21, 3.888539423876719*^36, 3.9673762268230705*^36, 3.1212894073024016*^36, 6.269126294927032*^36, 3.5869489037666173*^37, 2.6662488780488776*^37}}
{1584.893192461114, {2.7712928228681925*^29, 7.685733329990627*^20, 9.849491422250396*^28, 3.3081439958863603*^20, 2.453825962477252*^36, 2.5035749539824524*^36, 1.9696714038133373*^36, 3.956038610086955*^36, 2.263503307449142*^37, 1.682517827819148*^37}}
{2511.88643150958, {1.7486879419222483*^29, 1.930704040285601*^20, 6.2150412129867835*^28, 8.310268295917865*^19, 1.5483883229216686*^36, 1.5797803421647456*^36, 1.242886533840585*^36, 2.4962856783140585*^36, 1.4282901182903984*^37, 1.061687982330439*^37}}
{3981.0717055349774, {1.1033954296680557*^29, 4.849923439821801*^19, 3.9215980023101594*^28, 2.0875379433281556*^19, 9.770182496580522*^35, 9.96826285709951*^35, 7.84251326105436*^35, 1.5751270477145984*^36, 9.012363641179045*^36, 6.699160617007598*^36}}
{6309.573444801943, {6.962144470115531*^28, 1.2182796300850446*^19, 2.4744295642727325*^28, 5.243805518412171*^18, 6.1647672678264014*^35, 6.289756640975329*^35, 4.948453500917204*^35, 9.938685137410983*^35, 5.686599193309577*^36, 4.227028385569849*^36}}
{10000.00000000002, {4.392846821938837*^28, 3.06023265773343*^18, 1.5612844404341362*^28, 1.317207590455372*^18, 3.889612193174664*^35, 3.968639699889776*^35, 3.1221159458057895*^35, 6.2709293053497945*^35, 3.5879981040546134*^36, 2.667100667550739*^36}}
{15848.93192461114, {2.771053318819534*^28, 7.686874264909079*^17, 9.850485604084172*^27, 3.308683419413422*^17, 2.4519962034457173*^35, 2.503813193644552*^35, 1.967669538254108*^35, 3.955591445517071*^35, 2.262870757589045*^36, 1.6823467461941*^36}}
{25118.864315095823, {1.7440079368617091*^28, 1.9300574036790374*^17, 6.208588619438733*^27, 8.309194378768506*^16, 1.5344919306737876*^35, 1.577336814092035*^35, 1.2297016582827766*^35, 2.4882959335629098*^35, 1.4212673879045262*^36, 1.0577782941528315*^36}}
{39810.71705534977, {1.0845786550209857*^28, 4.828844247838093*^16, 3.8844824520576924*^27, 2.081527601538774*^16, 9.325837562744496*^34, 9.83677616589929*^34, 7.445077893672397*^34, 1.543072012792097*^35, 8.752436164163085*^35, 6.53638963277734*^35}}
{63095.73444801943, {6.507162853801661*^27, 1.1875877446454376*^16, 2.3633004119158*^27, 5.141082859733854*^15, 5.327490036058698*^34, 5.923628277496022*^34, 4.22749091319166*^34, 9.18320262040078*^34, 5.126266029753028*^35, 3.851513702730396*^35}}
{100000.0000000002, {3.657288895447299*^27, 2.790092910133617*^15, 1.3549038163419996*^27, 1.2175366344816992*^15, 2.8055316207817867*^34, 3.3372277607054777*^34, 2.211873250825627*^34, 5.094170314512825*^34, 2.78187261219317*^35, 2.1046706058731728*^35}}
{158489.31924611173, {1.8972578464013298*^27, 6.091380075998779*^14, 7.172306743664706*^26, 2.6840504155847356*^14, 1.3656802503728474*^34, 1.732034406199952*^34, 1.070676602846065*^34, 2.604909332079897*^34, 1.3918524431038093*^35, 1.0594760025670114*^35}}
{251188.6431509582, {9.128394726551873*^26, 1.2260109688967895*^14, 3.509332428883116*^26, 5.450381298734311*^13, 6.238031040520959*^33, 8.327516380559661*^33, 4.869935276258315*^33, 1.2376169267853178*^34, 6.495956912178571*^34, 4.96789400968535*^34}}
{398107.17055349774, {4.135788006244298*^26, 2.2975368397644773*^13, 1.6098551265277922*^26, 1.0284939741211104*^13, 2.720507594757963*^33, 3.768955483987545*^33, 2.117616180641027*^33, 5.553709554397381*^33, 2.8769977066524373*^34, 2.2072332895509464*^34}}
{630957.3444801943, {1.7938134487102082*^26, 4.0764763815172407*^12, 7.042818047533957*^25, 1.8338638468250798*^12, 1.1492651185049262*^33, 1.6332472297503777*^33, 8.92424567457488*^32, 2.3933800921058778*^33, 1.2281641153513292*^34, 9.443417802775352*^33}}
{1.*^6, {7.550751710222381*^25, 6.958237182999956*^11, 2.981646293914522*^25, 3.1407556135789276*^11, 4.753303949953735*^32, 6.873237746833705*^32, 3.683811454228333*^32, 1.0018914623508089*^33, 5.1178352619316783*^33, 3.940688151925168*^33}}
{1.5848931924611141*^6, {3.1157487632874716*^25, 1.1570337792289034*^11, 1.2349764433028062*^25, 5.234052421105484*^10, 1.9390113098266328*^32, 2.835992544955254*^32, 1.503940692787651*^32, 4.118937543539515*^32, 2.1007869650605526*^33, 1.6170821277706524*^33}}
{2.5118864315095823*^6, {1.2691306787729648*^25, 1.8910768570177727*^10, 5.04258514678398*^24, 8.566852142040534*^9, 7.839879580437268*^31, 1.1589649980633594*^32, 6.091349327537837*^31, 1.6766538734437232*^32, 8.548632247872825*^32, 6.589095342048954*^32}}
{3.9810717055349774*^6, {5.126582576764093*^24, 3.0565025892325478*^9, 2.0400769750486897*^24, 1.3859084096064622*^9, 3.2089826661656095*^31, 4.766275826579219*^31, 2.5034469166486*^31, 6.860501292227773*^31, 3.433742266138601*^32, 2.657557868611253*^32}}
{6.309573444801942*^6, {2.059849887311414*^24, 4.904913084509411*^8, 8.205054742684926*^23, 2.2253306693781415*^8, 1.2626265968617065*^31, 2.0012279372030687*^31, 1.0202698051736652*^31, 2.7074274773205145*^31, 1.3567274793667617*^32, 1.0758983511166073*^32}}
{1.000000000000002*^7, {8.248438943572598*^23, 7.835306949337685*^7, 3.287673537618949*^23, 3.5561510838026196*^7, 5.046397962553602*^30, 6.182163253249852*^30, 3.475490888183979*^30, 1.1446813768408175*^31, 5.477337752518415*^31, 3.3590200685197456*^31}}
