{158.48931924611142, {3.5114043172765046*^21, 2.1373987422639694*^10, 1.1968383510055247*^21, 8.932356975885593*^9, 5.821263537229515*^37, 5.821264454141951*^37, 5.821236717003468*^37, 5.821344915882607*^37, 4.657027105698271*^38, 4.656994921139352*^38}}
{251.18864315095823, {2.2167678183748872*^21, 5.371975958896614*^9, 7.55580471171078*^20, 2.2450145257965975*^9, 3.675097328885068*^37, 3.6750979079078903*^37, 3.6750803970098696*^37, 3.675148703404536*^37, 2.9400881378823493*^38, 2.9400678197700914*^38}}
{398.1071705534973, {1.3991726658870512*^21, 1.349866866397514*^9, 4.769090107046064*^20, 5.641296421075205*^8, 2.3196777809689908*^37, 2.3196781469080605*^37, 2.319667094419564*^37, 2.3197102074410913*^37, 1.855748710029307*^38, 1.8557358859738896*^38}}
{630.9573444801937, {8.830121540481543*^20, 3.3914853917605317*^8, 3.009769469689062*^20, 1.417358644428569*^8, 1.4639555854230688*^37, 1.4639558159767643*^37, 1.4639488413209527*^37, 1.463976050779929*^37, 1.1711685609923681*^38, 1.1711604684053869*^38}}
{1000., {5.5722021916701734*^20, 8.520251927972305*^7, 1.8993057884384893*^20, 3.5607656601443715*^7, 9.238280820293728*^36, 9.238282279132387*^36, 9.23823826077736*^36, 9.238409953552041*^36, 7.390650482286502*^37, 7.3905994129302355*^37}}
{1584.893192461114, {3.516129368463655*^20, 2.140384842489946*^7, 1.198488306206181*^20, 8.945066008584447*^6, 5.829496927806159*^36, 5.829497836177121*^36, 5.829470064564376*^36, 5.829578434046226*^36, 4.663613853301066*^37, 4.663581603341671*^37}}
{2511.88643150958, {2.2186500116809813*^20, 5.37671165754237*^6, 7.562377363629084*^19, 2.2470300908675385*^6, 3.678377139849549*^36, 3.678377806544907*^36, 3.6783602696766797*^36, 3.6784286761776013*^36, 2.942712086998011*^37, 2.942691753418155*^37}}
{3981.0717055349774, {1.3999213047466928*^20, 1.3506175895676897*^6, 4.771705614630286*^19, 564449.1810936033, 2.3209835553534774*^36, 2.320984400354197*^36, 2.320972880265906*^36, 2.3210164368546664*^36, 1.8567936149003235*^37, 1.8567808072919133*^37}}
{6309.573444801943, {8.83304653126145*^19, 339267.08104473667, 3.0107983844498866*^19, 141786.39059985487, 1.4644714765732352*^36, 1.464475339119886*^36, 1.464464777357926*^36, 1.4644955732135884*^36, 1.1715836973103053*^37, 1.1715755252749494*^37}}
{10000.00000000002, {5.573167023188439*^19, 85220.52690631078, 1.8996699678060507*^19, 35615.44639135279, 9.239815301032127*^35, 9.240300937750817*^35, 9.239772835338323*^35, 9.240431257881007*^35, 7.392199838370703*^36, 7.392149705726455*^36}}
{15848.93192461114, {3.5157465705268756*^19, 21405.595591988567, 1.1984501522385422*^19, 8945.981908790533, 5.824719080994694*^35, 5.829687624458292*^35, 5.8246909738640445*^35, 5.829769162527689*^35, 4.6629692414335535*^36, 4.6629361160319685*^36}}
{25118.864315095823, {2.214695136805328*^19, 5374.7772203440945, 7.552334125217909*^18, 2246.489751503682, 3.646689644483096*^35, 3.6730705396584754*^35, 3.646674805702317*^35, 3.673124420492671*^35, 2.9332317458222864*^36, 2.933211009856467*^36}}
{39810.71705534977, {1.3834356460620255*^19, 1345.7749302651305, 4.725397591244968*^18, 562.823709066261, 2.2209024296586932*^35, 2.2933974581776165*^35, 2.2208973955971673*^35, 2.2934246461337233*^35, 1.8172046654652183*^36, 1.8171959986001654*^36}}
{63095.73444801943, {8.396382896092432*^18, 332.244588210365, 2.879323493390264*^18, 139.2295683465992, 1.2742682688525294*^35, 1.3867390526663048*^35, 1.2742598101488137*^35, 1.386760612027367*^35, 1.0777147042735032*^36, 1.0777028010998236*^36}}
{100000.0000000002, {4.805602052909533*^18, 78.78029114578094, 1.6574371591518807*^18, 33.14007963920147, 6.747330739982286*^34, 7.869172539562384*^34, 6.747315866615004*^34, 7.8692649305547425*^34, 5.944191704674759*^35, 5.9442048793571734*^35}}
{158489.31924611173, {2.5433397305991926*^18, 17.42842240676832, 8.823189790738554*^17, 7.365578087005421, 3.3011679822994367*^34, 4.1180253855690407*^34, 3.3011607858785006*^34, 4.118016347450282*^34, 3.0206939173287*^35, 3.0207005266336258*^35}}
{251188.6431509582, {1.245359706668366*^18, 3.555497161617949, 4.3410739159672646*^17, 1.5089464834489321, 1.5140643370392294*^34, 1.9946747669087865*^34, 1.5140610628339628*^34, 1.9946704374924658*^34, 1.4275724603460516*^35, 1.4275755536292415*^35}}
{398107.17055349774, {5.7187692808284154*^17, 0.6738499187296041, 2.0004429826552774*^17, 0.2869068511932945, 6.622416217676523*^33, 9.07993704339516*^33, 6.62240197467646*^33, 9.079917491467843*^33, 6.380311446886835*^34, 6.380325178206649*^34}}
{630957.3444801943, {2.5041772702363264*^17, 0.12056664980986401, 8.780763740664443*^16, 0.051451076834617776, 2.803210465901721*^33, 3.950687560035593*^33, 2.803204458702757*^33, 3.95067909863138*^33, 2.740826907351366*^34, 2.7408327792424027*^34}}
{1.*^6, {1.060924103944014*^17, 0.020700342328857507, 3.726001298644509*^16, 0.008847282376378147, 1.160933405189544*^33, 1.6664055879361013*^33, 1.1609309231612101*^33, 1.66640203151424*^33, 1.1462287710344424*^34, 1.1462312194114585*^34}}
{1.5848931924611141*^6, {4.396489764082612*^16, 0.0034556004673362596, 1.5456599902896874*^16, 0.001478398125063634, 4.739876397707455*^32, 6.885401908327662*^32, 4.739866279252948*^32, 6.885387247199132*^32, 4.70961931575165*^33, 4.7096293564065677*^33}}
{2.5118864315095823*^6, {1.7957624656378358*^16, 0.0005662382193498002, 6.317500764596268*^15, 0.0002424086158668421, 1.9175081893820865*^32, 2.8069929846635225*^32, 1.9175040998968274*^32, 2.8069870164777675*^32, 1.9130512204310537*^33, 1.9130552939702275*^33}}
