{1584.893192461114, {4.241823836970866*^34, 8.558262729543335*^28, 4.339831122966752*^34, 1.0435300879325345*^29, 1.5901055043207*^41, 3.496220247474695*^41, 2.3681343443164583*^39, 9.721128854547166*^39, 6.748149447341588*^40, 4.9387348603812505*^40}}
{2511.886431509582, {2.680801275649851*^34, 2.1572801947965874*^28, 2.743551991900611*^34, 2.631025687379102*^28, 1.0041084450529663*^41, 2.209414592426784*^41, 1.4954038076682642*^39, 6.142003664480742*^39, 4.2624481815296495*^40, 3.1198351510930834*^40}}
{3981.0717055349733, {1.6933384129426614*^34, 5.432826785448748*^27, 1.733451075228949*^34, 6.627049410411204*^27, 6.338294892637736*^40, 1.3955499736969996*^41, 9.439838959983777*^38, 3.8787675110328096*^39, 2.6912068491066013*^40, 1.9700132845466472*^40}}
{6309.573444801937, {1.0692169005306615*^34, 1.3661331394440355*^27, 1.0946174905240935*^34, 1.6664960705799674*^27, 4.00052501771247*^40, 8.810806995697973*^40, 5.957621109232318*^38, 2.4488197676589407*^39, 1.698834253030325*^40, 1.243536837923498*^40}}
{10000., {6.748559603181373*^33, 3.4350265731454476*^26, 6.910236194347597*^33, 4.190553646982879*^26, 2.523481139990382*^40, 5.560672989767098*^40, 3.757902174313215*^38, 1.545307625889848*^39, 1.0718197218167985*^40, 7.846049311122315*^39}}
{15848.93192461114, {4.2592431962630644*^33, 8.633865933133405*^25, 4.3615490644548325*^33, 1.0533315972875124*^26, 1.5924112489875912*^40, 3.5095001115157565*^40, 2.3713903414409175*^38, 9.752463017922625*^38, 6.763929213672066*^39, 4.9515235174314476*^39}}
{25118.864315095823, {2.6878801501640425*^33, 2.1696076366863517*^25, 2.752553520126897*^33, 2.6469928448997247*^25, 1.0048235077665587*^40, 2.214730254544627*^40, 1.496371769150211*^38, 6.154283731932052*^38, 4.2682313917381467*^39, 3.1246034641892904*^39}}
{39810.71705534977, {1.6961286254590978*^33, 5.451201133516244*^24, 1.7369836434317193*^33, 6.650758687542037*^24, 6.340326017426847*^39, 1.3975537962537435*^40, 9.441967692701242*^37, 3.883447186918059*^38, 2.6932633155687676*^39, 1.971652131282781*^39}}
{63095.73444801943, {1.0702607575084955*^33, 1.3695007093196473*^24, 1.0960580717285417*^33, 1.67088256121816*^24, 4.000598380744042*^39, 8.818579272693253*^39, 5.957656668104808*^37, 2.450431231484576*^38, 1.6994099628577015*^39, 1.2440920585785915*^39}}
{100000., {6.7531580261842*^32, 3.440384121510256*^23, 6.916040493933166*^32, 4.197527939341614*^23, 2.5241175467217257*^39, 5.564379858620642*^39, 3.7586760026663537*^37, 1.5461587666888645*^38, 1.0722615793096238*^39, 7.849819726838818*^38}}
{158489.3192461114, {4.2605468416925074*^32, 8.642657241788865*^22, 4.363878174569639*^32, 1.0544769471518894*^23, 1.5910662332506717*^39, 3.510682111550778*^39, 2.368349008571363*^37, 9.753429432278257*^37, 6.762407124362113*^38, 4.951277891517485*^38}}
{251188.6431509582, {2.6850061548300397*^32, 2.1722866919673216*^22, 2.7532918596254462*^32, 2.6505889125588034*^22, 9.971151671855636*^38, 2.213403356764367*^39, 1.482933117458072*^37, 6.141235600776124*^37, 4.2512990183380035*^38, 3.1161064009566315*^38}}
{398107.17055349774, {1.6875019604435845*^32, 5.391440907791477*^21, 1.721929359266063*^32, 6.574865118090725*^21, 6.112150495724008*^38, 1.3772673063539717*^39, 8.98034549594053*^36, 3.8409638521998946*^37, 2.6393109821795222*^38, 1.921840171245536*^38}}
{630957.3444801943, {1.03478342572267*^32, 1.347720854409416*^21, 1.0672499519113786*^32, 1.6460438905796554*^21, 3.563797898205569*^38, 8.445035372777938*^38, 5.2269204345192913*^36, 2.3314502375244497*^37, 1.5774198610165284*^38, 1.1567205634073486*^38}}
{1.*^6, {6.068880307299519*^31, 3.297758635865871*^20, 6.369341760872371*^31, 4.041682611040748*^20, 1.930045209665427*^38, 4.931932101397118*^38, 2.8249680789153006*^36, 1.3416502407837513*^37, 8.848146175182428*^37, 6.546689501366028*^37}}
{1.5848931924611141*^6, {3.32901724939479*^31, 7.709929848100507*^19, 3.565638975025913*^31, 9.50376268295133*^19, 9.700773749194306*^37, 2.6858049320978848*^38, 1.4189622398523914*^36, 7.189333067700671*^36, 4.607449373310091*^37, 3.441286702073555*^37}}
{2.5118864315095823*^6, {1.6908930398666004*^31, 1.6777005921308699*^19, 1.8448166460799871*^31, 2.081872245218376*^19, 4.534842207845611*^37, 1.3493447137127374*^38, 6.6212744158235974*^35, 3.563937043770516*^36, 2.2222159269806214*^37, 1.670881665011901*^37}}
{3.9810717055349774*^6, {8.023343804340169*^30, 3.364145412657082*^18, 8.878727451136362*^30, 4.1974548019760184*^18, 2.020720920895724*^37, 6.344973271377822*^37, 2.9492524268829505*^35, 1.658981947209641*^36, 1.0131254591137143*^37, 7.657706678297392*^36}}
{6.309573444801942*^6, {3.5875213477471245*^30, 6.268934628659634*^17, 4.012328424137126*^30, 7.854605832366103*^17, 8.620636384208929*^36, 2.815097640570673*^37, 1.2561012771181887*^35, 7.307002995673931*^35, 4.3941459070302595*^36, 3.330606397160651*^36}}
{1.*^7, {1.5428149353776218*^30, 1.1084215275019531*^17, 1.7376683211778306*^30, 1.3929300925081587*^17, 3.583850786284369*^36, 1.2040808805574828*^37, 5.229679363797195*^34, 3.1093580028764872*^35, 1.8496661372845442*^36, 1.4067662349495375*^36}}
{1.5848931924611142*^7, {6.473985203704319*^29, 1.895030029238954*^16, 7.327114632355728*^29, 2.3865544616668092*^16, 1.475523230072405*^36, 5.0403049692118396*^36, 2.152761685239322*^34, 1.2964750178710334*^35, 7.653907145811058*^35, 5.842332137876862*^35}}
{2.5118864315095823*^7, {2.666590634521803*^29, 3.1521934347044595*^15, 3.0272685289151396*^29, 3.975005171731028*^15, 5.985042410002815*^35, 2.0698822505249746*^36, 8.756173329363329*^33, 5.3103247403988615*^34, 3.1204070153027277*^35, 2.3834884973746278*^35}}
{3.9810717055349775*^7, {1.0809767101592569*^29, 5.1258735113949775*^14, 1.2280375111313127*^29, 6.46890022298642*^14, 2.4603318508036953*^35, 8.322330104189104*^35, 3.456758768438476*^33, 2.1624947652650185*^34, 1.2622786720321768*^35, 9.50671545799441*^34}}
{6.309573444801943*^7, {4.363500962407854*^28, 8.30667516879512*^13, 4.965181987902315*^28, 1.0491656393766927*^14, 1.0002979887453549*^35, 3.372877895048119*^35, 1.40275121920896*^33, 8.732898095858964*^33, 5.24053214776183*^34, 3.7389835452921154*^34}}
{1.*^8, {1.7842966721673393*^28, 1.3716383391972668*^13, 2.0488115687524302*^28, 1.7338967238330125*^13, 3.506473225984392*^34, 1.4591579515583049*^35, 6.747765248393464*^32, 3.4761951088999104*^33, 2.0923134759074335*^34, 1.9156770708212684*^34}}
