{0.00001, {6.159840884482511*^27, 2.833277680394483*^27, 1.049831641816614*^18, 6.00822746041633*^17, 3.693863128901857*^34, 2.4445930621494777*^34, 9.307034811115929*^32, 1.693524434916135*^33, 1.3714908425539117*^34, 8.416404307009984*^33}}
{0.00001584893192461114, {1.5430226805794597*^28, 6.817550984930427*^27, 6.214168063982384*^18, 3.500265824911009*^18, 9.423072429720079*^34, 6.188635735685465*^34, 2.3018521355261296*^33, 4.276842304930561*^33, 3.4836276790339277*^34, 2.111812511644912*^34}}
{0.000025118864315095822, {3.983684179026236*^28, 1.755387524065254*^28, 3.974582573378626*^19, 2.219333259222248*^19, 2.4125308114781017*^35, 1.5757079059169869*^35, 5.890704007885454*^33, 1.1000456272598921*^34, 8.936531579820927*^34, 5.387331314304475*^34}}
{0.000039810717055349695, {9.89730683086371*^28, 4.312025185390629*^28, 2.4275983981004318*^20, 1.3445519240393823*^20, 6.06322566874907*^35, 3.965707995570514*^35, 1.4663708866020785*^34, 2.747143150950058*^34, 2.2398656589301565*^35, 1.350249680155628*^35}}
{0.00006309573444801929, {2.4627091142714137*^29, 1.0673834953918524*^29, 1.4948218466525902*^21, 8.214014196876058*^20, 1.5123963459422675*^36, 9.883905185527864*^35, 3.643507245712911*^34, 6.843156726170253*^34, 5.583853978564801*^35, 3.361398526137345*^35}}
{0.0001, {6.2085535696681035*^29, 2.6894080607224018*^29, 9.457824751675674*^21, 5.195735880271047*^21, 3.8087998542510955*^36, 2.4872067429898875*^36, 9.173829353365703*^34, 1.7243653290143807*^35, 1.406575729000578*^36, 8.460510760996606*^35}}
{0.00015848931924611142, {1.5590152734744449*^30, 6.752246892944353*^29, 5.963511609885682*^22, 3.2756054434968565*^22, 9.56505354796414*^36, 6.246033350807828*^36, 2.303551305197932*^35, 4.3301894086929435*^35, 3.532264013558435*^36, 2.1245745542384265*^36}}
{0.0002511886431509582, {3.914068788224154*^30, 1.694798750690329*^30, 3.7587540013771596*^23, 2.0640888363292033*^23, 2.40174977990334*^37, 1.5683168963256296*^37, 5.783035213460632*^35, 1.0872088266621544*^36, 8.869086950954367*^36, 5.334264344216224*^36}}
{0.00039810717055349735, {9.823741165702825*^30, 4.2520177991110523*^30, 2.3676537818777157*^24, 1.299679526187603*^24, 6.029409796112254*^37, 3.9369846996663324*^37, 1.4513507429950216*^36, 2.729013873251848*^36, 2.2263981921320642*^37, 1.338941877362135*^37}}
{0.000630957344480193, {2.466400649125883*^31, 1.0672777338333263*^31, 1.4921609072115192*^25, 8.188075720169773*^24, 1.5181394864081268*^38, 9.92708145303805*^37, 3.652131948628029*^36, 6.860488721664929*^36, 5.602051840604021*^37, 3.3735488671124173*^37}}
{0.001, {6.182745796846678*^31, 2.672787221726735*^31, 9.375497610779054*^25, 5.1397546902289915*^25, 3.807810395542108*^38, 2.4896707606921587*^38, 9.153425350729245*^36, 1.7202180249586723*^37, 1.4049251687644129*^38, 8.458642760635772*^37}}
