{158.48931924611142, {8.80669360920433*^29, 5.8291389896876296*^23, 4.358531947214792*^29, 3.891998768631231*^23, 2.399143550737412*^36, 3.5561469091369053*^36, 1.1935553158163927*^36, 7.172915813917567*^36, 2.874068449383204*^37, 1.4273613074146495*^37}}
{251.18864315095823, {5.561237117321018*^29, 1.4676824383141952*^23, 2.754229361714306*^29, 9.803546661751618*^22, 1.5139231209109837*^36, 2.2460997437127565*^36, 7.531373311269658*^35, 4.5284581701978596*^36, 1.814045294118628*^37, 9.011020291933141*^36}}
{398.1071705534973, {3.5112777586103166*^29, 3.692220586145403*^22, 1.739542353260098*^29, 2.4668818631421912*^22, 9.555841656471966*^35, 1.4183286948873186*^36, 4.7538900463798286*^35, 2.858914444833668*^36, 1.1451333351119862*^37, 5.688990617136033*^36}}
{630.9573444801937, {2.2164127444939684*^29, 9.283280293676758*^21, 1.0982710406030784*^29, 6.203422102189621*^21, 6.03077562261572*^35, 8.953574957227032*^35, 3.0002649666189155*^35, 1.804510760141577*^36, 7.227486757845211*^36, 3.590873770274548*^36}}
{1000., {1.3988388631196293*^29, 2.3332573925913068*^21, 6.932386907742963*^28, 1.559323267689485*^21, 3.805738550885299*^35, 5.651126951194611*^35, 1.893343233603921*^35, 1.1388313051124738*^36, 4.561105703053678*^36, 2.2662312799355485*^36}}
{1584.893192461114, {8.827753093514864*^28, 5.863366778615984*^20, 4.375274355870088*^28, 3.9187837107480914*^20, 2.401493363512385*^35, 3.56640364942618*^35, 1.1947335031932657*^35, 7.18668324759959*^35, 2.8782326648318226*^36, 1.430120819444816*^36}}
{2511.886431509582, {5.570532658092662*^28, 1.4731636183919722*^20, 2.761049651840568*^28, 9.846289057642632*^19, 1.5153309630782355*^35, 2.250534131963951*^35, 7.538739077314904*^34, 4.534905307780953*^35, 1.816179639062059*^36, 9.024311701030098*^35}}
{3981.0717055349774, {3.5150057617406798*^28, 3.7009785480468726*^19, 1.7422789893671171*^28, 2.473711957055333*^19, 9.56144943360478*^34, 1.4201047169173198*^35, 4.756807450718522*^34, 2.8614964512820197*^35, 1.1459863530437036*^36, 5.6942973846389525*^35}}
{6309.573444801937, {2.2178895010739742*^28, 9.29732304845817*^18, 1.0993711478679401*^28, 6.214378708520816*^18, 6.03272609003461*^34, 8.960678570084002*^34, 3.0011754647557993*^34, 1.80551938976288*^35, 7.230717069084528*^35, 3.5929495905007295*^35}}
{10000., {1.3993736598477523*^28, 2.335437681148103*^18, 6.93768877760378*^27, 1.5608973560535316*^18, 3.8035660630964077*^34, 5.654632853632279*^34, 1.8913719046587098*^34, 1.1390726725696744*^35, 4.560800940253748*^35, 2.2668448561909736*^35}}
{15848.93192461114, {8.800178203039276*^27, 5.864693986691153*^17, 4.3726879903767647*^27, 3.920616334106725*^17, 2.3757068086544737*^34, 3.5599941412608677*^34, 1.1780055670992352*^34, 7.153878359337328*^34, 2.8584069309053555*^35, 1.4231221416955118*^35}}
{25118.864315095823, {5.441679399611482*^27, 1.4632365199875568*^17, 2.727352738661218*^27, 9.795937771470034*^16, 1.4347763437644411*^34, 2.2078376234260514*^34, 7.057977987119293*^33, 4.400252760593937*^34, 1.7448404260862033*^35, 8.726821461096674*^34}}
{39810.71705534977, {3.20880758044196*^27, 3.573489291467776*^16, 1.6434343064499182*^27, 2.4081286697674396*^16, 8.084615568781442*^33, 1.3095245387272938*^34, 3.9320072084084355*^33, 2.564076312802209*^34, 1.001538427052494*^35, 5.051937414640578*^34}}
{63095.73444801943, {1.7601829307521902*^27, 8.271525264838027*^15, 9.281664858860554*^26, 5.638374936641333*^15, 4.197025412806675*^33, 7.224934591601353*^33, 2.0161507240541235*^33, 1.3845679971270984*^34, 5.309138731685196*^34, 2.7019646111305828*^34}}
{100000., {8.908160210321162*^26, 1.7602607399300148*^15, 4.814887033344186*^26, 1.2147812450345022*^15, 2.0223258872678608*^33, 3.662061722052794*^33, 9.585819469753405*^32, 6.905313761160741*^33, 2.604558519192897*^34, 1.331050633627762*^34}}
{158489.3192461114, {4.1850471523842255*^26, 3.4561039688690175*^14, 2.3114614034202894*^26, 2.4124511166581972*^14, 9.16007887990114*^32, 1.7271097083966146*^33, 4.313554163038583*^32, 3.208197280641691*^33, 1.1952312985538203*^34, 6.145816419364221*^33}}
{251188.6431509582, {1.8630496200569567*^26, 6.346859041852076*^13, 1.0451549202979482*^26, 4.468040319374153*^13, 3.965857519176735*^32, 7.700461696624296*^32, 1.8567417316751058*^32, 1.4158885015110824*^33, 5.226247090319087*^33, 2.695784772989803*^33}}
{398107.17055349774, {7.985795578108547*^25, 1.1120601951874936*^13, 4.530187793838994*^25, 7.880254486937425*^12, 1.667998349819234*^32, 3.30446851579837*^32, 7.777226515451261*^31, 6.03299687557515*^32, 2.212688978052323*^33, 1.1438989256057434*^33}}
{630957.3444801943, {3.364816810059579*^25, 1.8695509785467805*^12, 1.8995186806072093*^25, 1.3282838913338052*^12, 6.89989405118953*^31, 1.3707685299955297*^32, 3.1484778955476287*^31, 2.527140752052468*^32, 9.208684004448497*^32, 4.695845819652688*^32}}
{1.*^6, {1.3799176607244494*^25, 3.0901195715603424*^11, 7.831642363378333*^24, 2.2021658444664932*^11, 2.803002790028349*^31, 5.6326071465002565*^31, 1.281242458456092*^31, 1.0330356476966106*^32, 3.7565671112931694*^32, 1.9195752254980035*^32}}
{1.5848931924611141*^6, {5.609903285956869*^24, 5.043996720303437*^10, 3.1967041156893275*^24, 3.6016611043764755*^10, 1.138248772848265*^31, 2.290282862707227*^31, 5.159356336610128*^30, 4.190012313121113*^31, 1.5259680785800604*^32, 7.775189576523048*^31}}
{2.5118864315095823*^6, {2.260520411290017*^24, 8.132525636094954*^9, 1.2903522704281072*^24, 5.815512440481063*^9, 4.545566170875425*^30, 9.331074551293392*^30, 2.117976215953086*^30, 1.6867694728433084*^31, 6.157688315677318*^31, 3.1917582835571733*^31}}
