{1584.893192461114, {1.7822196887455285*^33, 2.8962104190713084*^26, 6.9073787471742*^32, 1.622319389789334*^26, 6.685962759337305*^39, 5.562215291614945*^39, 3.7641714436296013*^37, 4.085408574449337*^38, 2.836700828343804*^39, 7.85366871236077*^38}}
{2511.886431509582, {1.1252116892118827*^33, 7.284771527167559*^25, 4.362945354818606*^32, 4.08225715907891*^25, 4.220498820360373*^39, 3.512583372938465*^39, 2.376139308560181*^37, 2.5791947409145874*^38, 1.790761671513243*^39, 4.958650233856589*^38}}
{3981.0717055349733, {7.102423301529956*^32, 1.8314105685573522*^25, 2.75469944212608*^32, 1.0265558690670405*^25, 2.663728129121059*^39, 2.2175109468064788*^39, 1.4996840217834932*^37, 1.6279500236819144*^38, 1.130262517060446*^39, 3.130019910991247*^38}}
{6309.573444801937, {4.482448456543469*^32, 4.602768077908423*^24, 1.7388417000832897*^32, 2.580399384735027*^24, 1.681006840388654*^39, 1.3996411171626088*^39, 9.464125259370509*^36, 1.027401294009752*^38, 7.132941197078249*^38, 1.9754361259922845*^38}}
{10000., {2.8286807357858114*^32, 1.1565552041582537*^24, 1.0974312210203703*^32, 6.484537165590753*^23, 1.0607662659204888*^39, 8.833075215853093*^38, 5.97215972144296*^36, 6.483396856796885*^37, 4.501165739978462*^38, 1.246625830734983*^38}}
{15848.93192461114, {1.7849548611238325*^32, 2.905757041255389*^23, 6.925502741310348*^31, 1.6292966718809567*^23, 6.693470973799959*^38, 5.574064999640781*^38, 3.7684567090004885*^36, 4.091118354594113*^37, 2.8402761732552917*^38, 7.866513232382596*^37}}
{25118.864315095823, {1.1263007721291303*^32, 7.299917117171655*^22, 4.3701665049134315*^31, 4.093328794475204*^22, 4.22348175710439*^38, 3.517303976589774*^38, 2.3777990249062648*^36, 2.581467424500305*^37, 1.7921838812268758*^38, 4.963761344240343*^37}}
{39810.71705534977, {7.10640758988297*^31, 1.8338070441029286*^22, 2.7575642441236998*^31, 1.0283094739159194*^22, 2.664502228596079*^38, 2.21935281216718*^38, 1.4993020899755048*^36, 1.6287392144619591*^37, 1.1307113309001163*^38, 3.1317354333853446*^37}}
{63095.73444801943, {4.477407264937635*^31, 4.604955364773113*^21, 1.7392546943918986*^31, 2.582403502717571*^21, 1.6760154056507087*^38, 1.3993028716702909*^38, 9.390417971965558*^35, 1.02580382092331*^37, 7.11764852038263*^37, 1.9718374099830524*^37}}
{100000., {2.794973580702874*^31, 1.1550000521945483*^21, 1.0945606737753366*^31, 6.484164780851178*^20, 1.036792728385912*^38, 8.775453541972592*^37, 5.726683286353241*^35, 6.388590187470209*^36, 4.419727447092652*^37, 1.226451995047036*^37}}
{158489.3192461114, {1.677901614932592*^31, 2.8499684241862223*^20, 6.740689361583428*^30, 1.611972112347539*^20, 6.082898216405116*^37, 5.332850667957037*^37, 3.2740058819218322*^35, 3.810555243578851*^36, 2.6163316435043474*^37, 7.287344001165042*^36}}
