	Teff(K)	L(10^28_erg/s)	R(km)	M(M_sun)	g_surf(cm/s^2)
0	3489.581457834452	3.3894226344885423	5663.767031829135	0.9606259386688524	-399925038.4996322
1	5235.517411867551	2.4655802189349902	2145.999179985007	1.3448241583164313	-3905096296.8383036
2	5279.628675331383	2.9155528441577	2294.7897447943687	1.3355866855113359	-3391204012.973868
3	5584.973794729469	2.562283680708266	1922.474223723276	1.3577571203717274	-4913933337.929359
4	6211.109592309347	2.7728049120534464	1617.001685291617	1.3719455726332621	-7021469541.637179
5	10957.264454462013	3.685205662105719	598.9847666033246	1.3806728585301988	-51720073104.7641
6	11292.635614105695	4.579368261363733	628.6390499140189	1.3817977456106927	-46978893269.09848
7	3987.5569044006074	2.8183829312644555	3955.263415591754	1.180445316218688	-1008083291.2767642
8	4333.618430128292	2.9082809839751294	3401.7785813796577	1.2410251613404775	-1433030942.263959
9	4897.696233963305	2.4857333864020332	2462.2535993588904	1.3234712590270545	-2918495874.957093
10	5735.356600910472	2.51188643150958	1804.9631850075316	1.3636955606058392	-5599801723.509809
11	5990.150365567663	2.3838159828245185	1611.944611563091	1.3721473933516022	-7066692900.216863
12	6609.215064146779	2.3344351733012734	1310.3289631250714	1.38221508071937	-10779386622.630606
13	6754.835149675817	2.2860772885200094	1241.3811457394036	1.3836660970186934	-12024788567.995983
14	4624.85860118637	2.789038732017596	2924.9574573904197	1.2864144164999483	-2009674439.9516299
15	2987.7224444751	5.336699231206311	9694.938624856562	0.4593623007050934	-65244295.604798175
16	3169.8441164298524	5.392848026762046	8658.097651242591	0.569974327724255	-101510616.21553162
17	2879.017795558008	6.579332246575675	11592.881860922314	0.30403451380408836	-30198828.636402264
18	4788.743274934473	2.789038732017596	2728.182144563562	1.3028730145368999	-2339850190.482787
19	4133.425300041385	3.0326213059195286	3818.3708315294025	1.1964554362849606	-1096379524.7746089
20	3788.0259346116695	3.7780937232585763	5074.57500335429	1.0403210154538884	-539571194.7273939
21	8926.389846875429	13.26561145219558	1712.383899850504	1.3681390022543203	-6242751410.857299
22	8198.979169540624	19.1345468599704	2437.691396289238	1.325248248851851	-2981658227.2775326
23	10058.683956407778	46.578105280258704	2526.9566001532735	1.3187902223252825	-2761023533.060836
24	6522.747965236585	13.26561145219558	3206.9459477112473	1.2600301680789612	-1637272645.220475
25	7124.762036142916	20.162549868339415	3313.761131283103	1.2498542678623903	-1520967726.6092608
26	7398.730859428885	27.60000056204006	3595.251583325962	1.2204298779415097	-1261561931.6164396
27	7654.1591943716385	33.32170941244815	3691.1173675290534	1.2102249244127743	-1186833360.926817
28	8091.460891157398	36.9983041440696	3480.376519593693	1.2326583773664435	-1359764171.2688863
29	9404.331631949231	73.05271542664448	3620.3579364395364	1.2177572959673482	-1241389429.739041
30	10515.767692095458	93.91333704859795	3282.999898449829	1.2527847804111005	-1553257529.0420797
31	11518.692233411504	160.15682644458337	3573.1856222649158	1.2227788088876939	-1279660075.407097
32	12593.84742723134	216.95198914988637	3478.997868785634	1.2328051353317127	-1361004832.4108577
33	12957.925231066352	208.05675382171668	3218.17138872434	1.2589607604927318	-1624482356.7357817
34	13613.243205959441	191.34546859970382	2796.244119128877	1.2971802034577102	-2217507956.328499
35	6995.282107876948	9.391333704859806	2346.0775784190623	1.3318761894199025	-3235402147.80752
36	9093.337012001652	42.39090879578533	2949.707751021274	1.2843442628393353	-1972884751.4980056
37	10680.480066216029	128.55557319139007	3723.5149906198853	1.2067761836463815	-1162933817.807442
38	13413.684646158092	253.8314639581961	3317.154831388651	1.2495309622003652	-1517462376.4380212
